Time,data
1699370719.7346275,0.0
1699370719.758144,0.0
1699370719.8079422,0.0
1699370719.854033,0.0
1699370719.8989742,0.0
1699370719.947015,2.0
1699370719.9938638,12.0
1699370720.040818,26.0
1699370720.0863729,42.0
1699370720.127502,55.0
1699370720.1829474,74.0
1699370720.206961,90.0
1699370720.2527642,103.0
1699370720.2999494,127.0
1699370720.345357,148.0
1699370720.390573,166.0
1699370720.4361815,178.0
1699370720.4833283,196.0
1699370720.5311785,208.0
1699370720.5787048,220.0
1699370720.6251597,227.0
1699370720.6709263,234.0
1699370720.717574,240.0
1699370720.7653744,240.0
1699370720.8128755,240.0
1699370720.8595479,238.0
1699370720.9061866,233.0
1699370720.9531982,227.0
1699370721.0002096,220.0
1699370721.0475492,208.0
1699370721.0951576,196.0
1699370721.1419828,180.0
1699370721.18765,167.0
1699370721.2347748,145.0
1699370721.2813036,125.0
1699370721.328943,100.0
1699370721.3747883,86.0
1699370721.4206798,61.0
1699370721.4676054,36.0
1699370721.5146887,12.0
1699370721.5632288,-6.0
1699370721.610969,-30.0
1699370721.6565278,-57.0
1699370721.705109,-82.0
1699370721.7510936,-106.0
1699370721.797896,-119.0
1699370721.8460689,-141.0
1699370721.8920805,-160.0
1699370721.9386666,-178.0
1699370721.9858706,-190.0
1699370722.0328474,-208.0
1699370722.0796177,-219.0
1699370722.12558,-226.0
1699370722.1727798,-232.0
1699370722.2187464,-238.0
1699370722.2666218,-242.0
1699370722.3135614,-242.0
1699370722.3599145,-238.0
1699370722.4071016,-236.0
1699370722.4535542,-226.0
1699370722.500206,-218.0
1699370722.5488505,-212.0
1699370722.6006124,-196.0
1699370722.6253457,-187.0
1699370722.6758552,-170.0
1699370722.7131948,-158.0
1699370722.7580082,-134.0
1699370722.8059056,-114.0
1699370722.8529913,-98.0
1699370722.9023485,-71.0
1699370722.9439278,-46.0
1699370722.9702535,-39.0
1699370723.0224094,-11.0
1699370723.0681832,14.0
1699370723.0929508,30.0
1699370723.1278167,38.0
1699370723.1884007,72.0
1699370723.2233982,89.0
1699370723.2516286,102.0
1699370723.3022778,127.0
1699370723.3456352,139.0
1699370723.3907416,161.0
1699370723.4382074,179.0
1699370723.4851184,190.0
1699370723.5321634,204.0
1699370723.5806727,216.0
1699370723.6266792,226.0
1699370723.672557,234.0
1699370723.7194471,238.0
1699370723.7662723,240.0
1699370723.8140647,240.0
1699370723.8605301,238.0
1699370723.906322,234.0
1699370723.9533358,226.0
1699370724.000245,217.0
1699370724.0483742,206.0
1699370724.09566,197.0
1699370724.1450107,181.0
1699370724.1919694,162.0
1699370724.238005,145.0
1699370724.2862473,125.0
1699370724.3331494,109.0
1699370724.3802123,85.0
1699370724.4265223,60.0
1699370724.472207,44.0
1699370724.5201974,18.0
1699370724.568309,-10.0
1699370724.6146617,-35.0
1699370724.6621125,-64.0
1699370724.7080617,-80.0
1699370724.753847,-106.0
1699370724.80052,-124.0
1699370724.8487675,-146.0
1699370724.8958795,-167.0
1699370724.9412973,-178.0
1699370724.9878347,-194.0
1699370725.0346572,-208.0
1699370725.0829494,-218.0
1699370725.1301727,-226.0
1699370725.1763625,-232.0
1699370725.2223728,-238.0
1699370725.2692046,-242.0
1699370725.3173983,-242.0
1699370725.3646846,-238.0
1699370725.4127765,-232.0
1699370725.4592052,-224.0
1699370725.5074794,-218.0
1699370725.5536828,-206.0
1699370725.6003792,-193.0
1699370725.6465204,-176.0
1699370725.695472,-158.0
1699370725.7427442,-143.0
1699370725.790631,-123.0
1699370725.8342233,-101.0
1699370725.857254,-93.0
1699370725.904135,-68.0
1699370725.9524703,-46.0
1699370725.9870236,-28.0
1699370726.0469189,-4.0
1699370726.0869598,24.0
1699370726.113224,32.0
1699370726.1611927,58.0
1699370726.2072935,83.0
1699370726.2533784,102.0
1699370726.300173,126.0
1699370726.3480315,145.0
1699370726.3949282,168.0
1699370726.4408965,178.0
1699370726.4874728,192.0
