Time,data
1699458146.7612936,False
1699458146.8079295,False
1699458146.854738,False
1699458146.9020555,False
1699458146.9485273,False
1699458146.9962184,False
1699458147.0453308,True
1699458147.090792,True
1699458147.1328943,True
1699458147.1889174,True
1699458147.2295914,True
1699458147.2582638,True
1699458147.3064606,True
1699458147.351741,True
1699458147.3980536,True
1699458147.4448528,True
1699458147.491351,True
1699458147.538774,True
1699458147.585539,True
1699458147.6321437,True
1699458147.6789448,True
1699458147.7259824,True
1699458147.7730258,True
1699458147.819922,True
1699458147.866705,True
1699458147.9147546,True
1699458147.960797,True
1699458148.0070856,True
1699458148.054357,True
1699458148.1007624,True
1699458148.1474543,True
1699458148.1942825,True
1699458148.2413883,True
1699458148.2876737,True
1699458148.3354204,True
1699458148.3820655,True
1699458148.4293294,True
1699458148.477888,True
1699458148.525532,True
1699458148.5703096,True
1699458148.6165268,True
1699458148.6638358,True
1699458148.7103703,True
1699458148.7576377,True
1699458148.8040555,True
1699458148.8516028,True
1699458148.8978364,True
1699458148.945689,True
1699458148.991609,True
1699458149.0385585,True
1699458149.085434,True
1699458149.1314573,True
1699458149.1705492,True
1699458149.1986632,True
1699458149.2575333,True
1699458149.2970946,True
1699458149.3356,True
1699458149.3669717,True
1699458149.4155703,True
1699458149.4548793,True
1699458149.4943883,True
1699458149.5248249,True
1699458149.5716166,True
1699458149.6187606,True
1699458149.6654785,True
1699458149.701879,True
1699458149.7598782,True
1699458149.8079288,True
1699458149.8544114,True
1699458149.9042654,True
1699458149.9481957,True
1699458149.9934309,True
1699458150.0403788,True
1699458150.0869474,True
1699458150.1355884,True
1699458150.1841996,True
1699458150.241974,True
1699458150.2860346,True
1699458150.3253849,True
1699458150.3525493,True
1699458150.4011257,True
1699458150.4453104,True
1699458150.4920356,True
1699458150.539137,True
1699458150.5861692,True
1699458150.6330068,True
1699458150.6798022,True
1699458150.726403,True
1699458150.7733448,True
1699458150.820695,True
1699458150.8685298,True
1699458150.9156215,True
1699458150.961953,True
1699458151.0076802,True
1699458151.0543149,True
1699458151.1020725,True
1699458151.147327,True
1699458151.1861484,True
1699458151.2158444,True
1699458151.2622268,True
1699458151.3106866,True
1699458151.3546543,True
1699458151.4003878,True
1699458151.4466949,True
1699458151.49167,True
1699458151.5288305,True
1699458151.5731626,True
1699458151.618699,True
1699458151.666028,True
1699458151.7127428,True
1699458151.759111,True
1699458151.8062084,True
1699458151.85281,True
1699458151.8996851,True
1699458151.946901,True
1699458151.9936736,True
1699458152.040937,True
1699458152.0887136,True
1699458152.136195,True
1699458152.1805458,True
1699458152.2188482,True
1699458152.2477257,True
1699458152.295803,True
1699458152.3403058,True
1699458152.3862877,True
1699458152.4325385,True
1699458152.4797297,True
1699458152.526281,True
1699458152.5735526,True
1699458152.620821,True
1699458152.6689885,True
1699458152.7152908,True
1699458152.7646642,True
1699458152.8087044,True
1699458152.8549018,True
1699458152.9012508,True
1699458152.9480386,True
1699458152.9955096,True
1699458153.0420814,True
1699458153.0888438,True
1699458153.136006,True
1699458153.1822925,True
1699458153.2294476,True
1699458153.2826393,True
1699458153.3295987,True
1699458153.3805792,True
1699458153.4205475,True
1699458153.4472704,True
1699458153.4959202,True
1699458153.5408833,True
1699458153.5879295,True
