Time,data
1699458146.7612634,-1.0
1699458146.8078585,-1.0
1699458146.8547335,-1.0
1699458146.9019353,-1.0
1699458146.948295,-1.0
1699458146.996133,-1.0
1699458147.0453405,-1.0
1699458147.0909615,-1.0
1699458147.132899,-1.0
1699458147.1886425,-1.0
1699458147.229446,-1.0
1699458147.2581062,-1.0
1699458147.30637,-1.0
1699458147.3517265,-1.0
1699458147.3979216,-1.0
1699458147.4450238,-1.0
1699458147.491361,-1.0
1699458147.5385036,-1.0
1699458147.5856845,-1.0
1699458147.6321385,-1.0
1699458147.6788144,-1.0
1699458147.7259874,-1.0
1699458147.772909,-1.0
1699458147.8198776,-1.0
1699458147.8665752,-1.0
1699458147.9146197,-1.0
1699458147.960797,-1.0
1699458148.0071168,-1.0
1699458148.0545123,-1.0
1699458148.1009111,-1.0
1699458148.147539,-1.0
1699458148.1941667,-1.0
1699458148.2413638,-1.0
1699458148.2878869,-1.0
1699458148.3353655,-1.0
1699458148.3819468,-1.0
1699458148.4293008,-1.0
1699458148.4780748,-1.0
1699458148.5255196,-1.0
1699458148.5704768,-1.0
1699458148.6167705,-1.0
1699458148.6637273,-1.0
1699458148.7103848,-1.0
1699458148.7576432,-1.0
1699458148.8040333,-1.0
1699458148.8516297,-1.0
1699458148.8979511,-1.0
1699458148.9456878,-1.0
1699458148.9916525,-1.0
1699458149.0387695,-1.0
1699458149.0854568,-1.0
1699458149.1314538,-1.0
1699458149.1704383,-1.0
1699458149.1986656,-1.0
1699458149.257459,-1.0
1699458149.297127,-1.0
1699458149.3355906,-1.0
1699458149.3668752,-1.0
1699458149.4156356,-1.0
1699458149.45489,-1.0
1699458149.4943,-1.0
1699458149.524818,-1.0
1699458149.5718036,-1.0
1699458149.6188219,-1.0
1699458149.6654155,-1.0
1699458149.701846,-1.0
1699458149.7600677,-1.0
1699458149.8077285,-1.0
1699458149.8544211,-1.0
1699458149.9042718,-1.0
1699458149.9481983,-1.0
1699458149.9934366,-1.0
1699458150.0404224,-1.0
1699458150.0869403,-1.0
1699458150.1358693,-1.0
1699458150.1842911,-1.0
1699458150.2419775,-1.0
1699458150.285946,-1.0
1699458150.3253753,-1.0
1699458150.3524415,-1.0
1699458150.4008493,-1.0
1699458150.4453332,-1.0
1699458150.4920757,-1.0
1699458150.5391371,-1.0
1699458150.585979,-1.0
1699458150.6329124,-1.0
1699458150.679809,-1.0
1699458150.7265294,-1.0
1699458150.7733178,-1.0
1699458150.820773,-1.0
1699458150.8685443,-1.0
1699458150.915442,-1.0
1699458150.962118,-1.0
1699458151.0075998,-1.0
1699458151.0544667,-1.0
1699458151.1019104,-1.0
1699458151.1473439,-1.0
1699458151.1861255,-1.0
1699458151.2159815,-1.0
1699458151.2622967,-1.0
1699458151.3109107,-1.0
1699458151.3545446,-1.0
1699458151.4005177,-1.0
1699458151.4466424,-1.0
1699458151.491891,-1.0
1699458151.5285435,-1.0
1699458151.5731626,-1.0
1699458151.6187708,-1.0
1699458151.6660223,-1.0
1699458151.712714,-1.0
1699458151.7591782,-1.0
1699458151.8059611,-1.0
1699458151.8529007,-1.0
1699458151.899674,-1.0
1699458151.946882,-1.0
1699458151.9937782,-1.0
1699458152.0408258,-1.0
1699458152.0885847,-1.0
1699458152.1361985,-1.0
1699458152.1806324,-1.0
1699458152.2187574,-1.0
1699458152.247577,-1.0
1699458152.2955968,-1.0
1699458152.340482,-1.0
1699458152.3863065,-1.0
1699458152.4326801,-1.0
1699458152.4799051,-1.0
1699458152.5262597,-1.0
1699458152.5734797,-1.0
1699458152.6208155,-1.0
1699458152.6688023,-1.0
1699458152.715524,-1.0
1699458152.76466,-1.0
1699458152.8088062,-1.0
1699458152.8550825,-1.0
1699458152.901276,-1.0
1699458152.9482868,-1.0
1699458152.995592,-1.0
1699458153.0421596,-1.0
1699458153.0887766,-1.0
1699458153.1358218,-1.0
1699458153.182251,-1.0
1699458153.229355,-1.0
1699458153.2824166,-1.0
1699458153.3298135,-1.0
1699458153.380596,-1.0
1699458153.4204907,-1.0
1699458153.44725,-1.0
1699458153.4958103,-1.0
1699458153.5410237,-1.0
1699458153.5879247,-1.0
